orphacode,Prevalence,Inheritance,Age of onset,Synonym
2901,1-5 / 10 000,"Autosomal dominant, Not applicable",Adult,Acute brachial plexus neuritis
718,1-9 / 100 000,"Autosomal dominant, Multigenic/multifactorial, Not applicable, Unknown","Antenatal, Neonatal",PRS
705,1-9 / 100 000,Autosomal recessive,"Infancy, Neonatal",Goiter-deafness syndrome
2903,-,Autosomal dominant,"Adolescent, Adult",
744,<1 / 1 000 000,Not applicable,Infancy,Partial gigantism-nevi-hemihypertrophy-macrocephaly syndrome
2981,-, - ,,Thiolase deficiency
763,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy",Pyknodysostosis
2971,<1 / 1 000 000,Autosomal recessive,Neonatal,Pseudo-NALD
3071,Unknown,"Autosomal dominant, Not applicable","Antenatal, Neonatal",FCS syndrome
2982,-, - ,,"46,XX DSD"
2983,<1 / 1 000 000,Unknown,Neonatal,Verloes-Gillerot-Fryns syndrome
2970,Unknown,"Autosomal dominant, Not applicable, X-linked recessive","Antenatal, Neonatal",Abdominal muscle deficiency syndrome
3135,-, - ,,NON RARE IN EUROPE: Spinal osteochondrosis
290,Unknown,Not applicable,"Antenatal, Neonatal",Mother-to-child transmission of rubella syndrome
834,<1 / 1 000 000,Autosomal recessive,"Antenatal, Infancy, Neonatal",Free sialic acid storage disorder
3151,<1 / 1 000 000,Unknown,Childhood,
799,Unknown,"Autosomal dominant, Autosomal recessive",All ages,
3169,<1 / 1 000 000,Not applicable,"Antenatal, Neonatal",
813,1-9 / 1 000 000,"Autosomal dominant, Not applicable","Antenatal, Neonatal",Silver-Russell dwarfism
816,1-9 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Fatty acid alcohol oxidoreductase deficiency
3173,<1 / 1 000 000, - ,Neonatal,Tsao-Ellingson syndrome
821,1-9 / 100 000,"Autosomal dominant, Autosomal recessive","Antenatal, Neonatal",Cerebral gigantism
3204,<1 / 1 000 000,Autosomal dominant,All ages,Thrombocytopathy-asplenia-miosis syndrome
858,Unknown,Not applicable,"Antenatal, Infancy, Neonatal",Toxoplasma embryofetopathy
3346,<1 / 1 000 000,Unknown,"Antenatal, Neonatal",Tracheal atresia
3205,1-9 / 100 000,Not applicable,"Antenatal, Neonatal",Encephalofacial angiomatosis
3320,Unknown,Autosomal recessive,"Antenatal, Neonatal",TAR syndrome
1245,-, - ,,Amish brittle hair syndrome
291,Unknown,Not applicable,"Antenatal, Neonatal",Mother-to-child transmission of varicella syndrome
3390,-, - ,,
887,Unknown,Not applicable,"Antenatal, Neonatal",VACTERL association
3447,<1 / 1 000 000,"Autosomal dominant, Not applicable","Antenatal, Neonatal",EZH2-related overgrowth syndrome
1422,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",Nivelon-Nivelon-Mabille syndrome
909,Unknown,Autosomal recessive,"Infancy, Neonatal",CTX
612,Unknown,Autosomal dominant,Childhood,K+-aggravated myotonia
287,1-9 / 100 000,Autosomal dominant,"Childhood, Infancy, Neonatal",Classical EDS
54,1-9 / 1 000 000,X-linked recessive,"Infancy, Neonatal",OA1
1020,1-9 / 100 000,Autosomal dominant,Adult,EOFAD
716,1-9 / 100 000,Autosomal recessive,Infancy,PAH deficiency
63,Unknown,"Autosomal dominant, Autosomal recessive, X-linked dominant","Adolescent, Adult, Childhood, Elderly",Alport hearing loss-nephropathy
84,1-9 / 1 000 000,"Autosomal recessive, X-linked recessive",Childhood,Fanconi pancytopenia
69,Unknown, - ,All ages,
70,1-9 / 100 000,Autosomal recessive,All ages,SMA
155,-, - ,,NON RARE IN EUROPE: Primitive hypertrophic subaortic stenosis
154,1-5 / 10 000,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive",All ages,Familial or idiopathic dilated cardiomyopathy
191,Unknown,Autosomal recessive,All ages,
166,1-5 / 10 000,"Autosomal dominant, Autosomal recessive, X-linked dominant, X-linked recessive",All ages,CMT/HMSN
355,1-9 / 100 000,Autosomal recessive,All ages,Acid beta-glucosidase deficiency
354,Unknown,Autosomal recessive,Childhood,Beta-galactosidase-1 deficiency
304,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive","Adolescent, Childhood, Infancy, Neonatal",EBS
364,Unknown,Autosomal recessive,"Infancy, Neonatal",G6P deficiency
388,1-5 / 10 000,"Autosomal dominant, Autosomal recessive, Multigenic/multifactorial, Not applicable","Childhood, Infancy, Neonatal",Aganglionic megacolon
448,1-9 / 100 000,X-linked recessive,"Antenatal, Infancy, Neonatal",
423,Unknown,Autosomal dominant,All ages,Hyperthermia of anesthesia
418,1-9 / 100 000,Autosomal recessive,,CAH
685,1-9 / 100 000,"Autosomal dominant, Autosomal recessive, X-linked recessive",All ages,Familial spastic paraplegia
666,1-5 / 10 000,"Autosomal dominant, Autosomal recessive, X-linked recessive",All ages,Brittle bone disease
581,1-9 / 1 000 000,Autosomal recessive,Childhood,MPS3
702,1-9 / 1 000 000,"X-linked dominant, X-linked recessive",All ages,Diffuse familial brain sclerosis
216,Unknown,"Autosomal dominant, Autosomal recessive",All ages,NCL
738,1-9 / 100 000,"Autosomal dominant, Autosomal recessive",All ages,
768,Unknown,"Autosomal dominant, Autosomal recessive","Adolescent, Adult, Childhood",Congenital LQTS
270,1-9 / 100 000,"Autosomal dominant, Autosomal recessive","Adult, Elderly",OPMD
791,1-5 / 10 000,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive","Adolescent, Adult, Childhood",
886,1-9 / 100 000,Autosomal recessive,"Childhood, Infancy, Neonatal",Retinitis pigmentosa-deafness syndrome
3440,1-9 / 100 000,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",
805,1-9 / 100 000,Autosomal dominant,All ages,Bourneville syndrome
244,-,"Autosomal dominant, Autosomal recessive, X-linked recessive",Neonatal,PCD
362,-, - ,,NON RARE IN EUROPE: Favism
3435,-, - ,,
589,1-9 / 100 000,"Multigenic/multifactorial, Not applicable",All ages,Acquired myasthenia
760,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood, Infancy",PNP deficiency
3137,<1 / 1 000 000,Autosomal recessive,"Adult, Childhood, Infancy",NAGA deficiency
715,<1 / 1 000 000,"Autosomal recessive, X-linked recessive","Adolescent, Adult",GSD due to muscle phosphorylase kinase deficiency
62,Unknown,Autosomal recessive,"Adolescent, Childhood",Alpha-sarcoglycanopathy
611,1-9 / 1 000 000,Not applicable,"Adult, Elderly",IBM
348,Unknown,Autosomal recessive,All ages,FBPase deficiency
204,<1 / 1 000 000,Not applicable,"Adult, Elderly",Sporadic CJD
598,Unknown,"Autosomal dominant, Autosomal recessive","Antenatal, Childhood, Infancy, Neonatal",MmD
732,1-9 / 100 000,Not applicable,"Adult, Elderly",
221,1-9 / 100 000,Not applicable,"Adult, Elderly",Adult dermatomyositis
117,1-9 / 100 000,Multigenic/multifactorial,"Adolescent, Adult, Childhood",
511,1-9 / 1 000 000,Autosomal recessive,"Childhood, Infancy, Neonatal",BCKD deficiency
26,Unknown,"Autosomal recessive, X-linked recessive",All ages,Combined defect in adenosylcobalamin and methylcobalamin synthesis
984,-, - ,,
32,<1 / 1 000 000,Autosomal recessive,Neonatal,Pyroglutamicaciduria
1163,Unknown,Not applicable,All ages,
3467,Unknown,Autosomal recessive,All ages,Classic xanthinuria
134,Unknown,Autosomal recessive,"Childhood, Infancy, Neonatal",3-ketothiolase deficiency
92,1-5 / 10 000, - ,Childhood,Juvenile chronic arthritis
1202,Unknown,Autosomal dominant,All ages,
173,<1 / 1 000 000,Not applicable,All ages,
1304,-,Not applicable,All ages,
1199,1-5 / 10 000,Not applicable,Neonatal,CEA
1428,-, - ,,
1201,Unknown,"Autosomal recessive, Not applicable, Unknown",Antenatal,Atresia of small bowel
322,Unknown,Multigenic/multifactorial,"Antenatal, Neonatal",BEEC
2512,Unknown,Autosomal recessive,"Antenatal, Neonatal",MCPH
2368,1-5 / 10 000,Not applicable,Antenatal,Laparoschisis
57,Unknown,Autosomal recessive,Neonatal,GSD due to aldolase A deficiency
2913,-, - ,,
713,<1 / 1 000 000,X-linked recessive,"Adolescent, Adult, Childhood",GSD due to phosphoglycerate kinase 1 deficiency
797,1-5 / 10 000,Multigenic/multifactorial,"Adolescent, Adult, Childhood, Elderly",Besnier-Boeck-Schaumann disease
795,1-9 / 100 000,Not applicable,All ages,
755,<1 / 1 000 000, - ,Neonatal,"46,XY DSD due to LH resistance or LHB deficiency"
2054,-, - ,,
249,Unknown,Not applicable,"Adolescent, Adult, Childhood",
183,1-9 / 100 000,Not applicable,"Adolescent, Adult, Elderly",Churg-Strauss syndrome
375,Unknown,Not applicable,"Adolescent, Adult, Elderly",Anti-GBM syndrome
2334,Unknown,Autosomal dominant,Childhood,Hereditary keratitis
1164,Unknown,Not applicable,Childhood,ABPA
2131,Unknown,"Autosomal dominant, Not applicable","Infancy, Neonatal",AHC
509,1-9 / 1 000 000,Not applicable,All ages,
2406,<1 / 1 000 000,Not applicable,All ages,Pseudocoma
761,Unknown,Not applicable,Childhood,Anaphylactoid purpura
2420,Unknown,Not applicable,"Adult, Elderly",
727,1-9 / 100 000,Not applicable,"Adult, Childhood",MPA
810,Unknown,Not applicable,All ages,
863,Unknown,Not applicable,All ages,Trichinosis
3185,-, - ,,NON RARE IN EUROPE: PCOS
3165,Unknown,Unknown,Adult,Diffuse fasciitis with eosinophilia
900,1-9 / 100 000,Not applicable,"Adolescent, Adult, Childhood, Elderly",GPA
442,1-5 / 10 000,Autosomal recessive,"Antenatal, Neonatal",
46,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy, Neonatal",ADSL deficiency
187,Unknown,Autosomal recessive,"Adult, Neonatal",
43,-,X-linked dominant,"Adolescent, Adult, Childhood, Elderly",ALD
2882,<1 / 1 000 000,Autosomal recessive,All ages,Phytosterolemia
415,Unknown,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy, Neonatal",HHH syndrome
3166,<1 / 1 000 000,Autosomal dominant,Infancy,"Sialuria, French type"
13,Unknown,Autosomal recessive,"Infancy, Neonatal",Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency
976,1-9 / 100 000,Autosomal recessive,"Adolescent, Adult, Childhood, Elderly, Infancy","2,8-dihydroxyadenine urolithiasis"
3129,1-9 / 100 000,Autosomal recessive,All ages,Sarcosine dehydrogenase complex deficiency
1675,Unknown,Autosomal recessive,All ages,Familial pyrimidinemia
171,1-9 / 100 000,Multigenic/multifactorial,"Adolescent, Adult, Childhood, Elderly",PSC
17,Unknown,Autosomal recessive,"Infancy, Neonatal",
2416,-, - ,,
2134,1-9 / 100 000,"Autosomal dominant, Autosomal recessive, Not applicable",All ages,Atypical HUS
2494,Unknown,"Autosomal dominant, Not applicable, Unknown","Adolescent, Adult, Childhood",Hypoproteinemic hypertrophic gastropathy
2102,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",GTPCH deficiency
2331,Unknown,Multigenic/multifactorial,"Adolescent, Adult, Childhood, Infancy",Mucocutaneous lymph node syndrome
3002,1-5 / 10 000,Not applicable,All ages,ITP
1983,-, - ,,NON RARE IN EUROPE: Myalgic encephalomyelitis
3452,Unknown,Not applicable,No data available,Intestinal lipodystrophy
1249,-, - ,,
3020,Unknown,Not applicable,All ages,Facial nerve palsy due to herpes zoster infection
1928,1-9 / 100 000,Not applicable,"Adult, Childhood, Infancy, Neonatal",Congenital lobar hyperinflation
274,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive",All ages,Giant platelet syndrome
2357,Unknown,Unknown,All ages,
1195,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",Congenital hypotransferrinemia
926,1-9 / 100 000,Autosomal recessive,All ages,Catalase deficiency
1531,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable, Unknown, X-linked recessive","Infancy, Neonatal",
2040,<1 / 1 000 000,Not applicable,Childhood,
2665,-, - ,"Infancy, Neonatal",
293,Unknown,Not applicable,"Antenatal, Neonatal",Mother-to-child transmission of herpes simplex virus infection
234,Unknown,Autosomal recessive,"Adolescent, Adult",Dubin-Sprinz disease
2800,Unknown, - ,"Adult, Elderly",
356,Unknown,"Autosomal dominant, Not applicable",Adult,"Subacute spongiform encephalopathy, Gerstmann-Straussler type"
704,1-5 / 10 000,Not applicable,"Adult, Childhood, Elderly",
466,<1 / 1 000 000,Autosomal dominant,Adult,FFI
3287,1-9 / 100 000,Not applicable,"Adolescent, Adult",
3463,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood",Arginine vasopressin deficiency- diabetes mellitus-optic atrophy-hearing loss syndrome
1549,-, - ,,
549,-,Not applicable,All ages,
1209,1-9 / 100 000,Not applicable,"Antenatal, Neonatal",
3303,Unknown,"Autosomal dominant, Multigenic/multifactorial","Antenatal, Neonatal",
98,Unknown,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive spastic ataxia type 6
1478,1-5 / 10 000,"Autosomal dominant, Not applicable","Adolescent, Adult, Childhood, Elderly",ASD
486,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",
1480,-, - ,,NON RARE IN EUROPE: VSD
730,1-5 / 10 000,Autosomal dominant,"Adolescent, Adult, Childhood",ADPKD
1482,-, - ,All ages,
1431,Unknown,"Autosomal dominant, Not applicable",Childhood,Paroxysmal choreoathetosis
828,1-9 / 100 000,"Autosomal dominant, Autosomal recessive","Antenatal, Childhood, Infancy, Neonatal",Hereditary progressive arthroophthalmopathy
1177,1-9 / 100 000,Autosomal recessive,"Adolescent, Adult, Childhood",EOCA
330,Unknown,Autosomal recessive,All ages,Congenital Hageman factor deficiency
284,Unknown,Not applicable,"Adult, Elderly",Echinococcus multilocularis infection
1959,1-9 / 1 000 000,Not applicable,"Adult, Childhood",Autoimmune hemolytic anemia and autoimmune thrombocytopenia
2312,Not yet documented, - ,Neonatal,Lucey-Driscoll syndrome
2380,Unknown,"Autosomal dominant, Multigenic/multifactorial",Childhood,Aseptic necrosis of the capital femoral epiphysis
2103,1-9 / 100 000,Multigenic/multifactorial,All ages,GBS
2314,1-9 / 100 000,Autosomal dominant,"Infancy, Neonatal",AD-HIES due to STAT3 deficiency
2177,Unknown,"Autosomal recessive, Unknown","Antenatal, Neonatal",
2372,-, - ,All ages,
2070,Unknown,Not applicable,All ages,EGE
449,-,Not applicable,"Childhood, Infancy, Neonatal",
533,Unknown,Not applicable,All ages,Listeria infection
677,<1 / 1 000 000,Not applicable,"Adult, Childhood",
2810,-, - ,,NON RARE IN EUROPE: Bell palsy
850,-, - ,,MHA
855,-, - ,,NON RARE IN EUROPE: Hashimoto hypothyroidism
2929,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",JIP
3198,1-9 / 1 000 000,Not applicable,"Adolescent, Adult, Childhood, Elderly, Infancy",Stiff man spectrum disorder
654,1-9 / 100 000,"Autosomal dominant, Not applicable",Childhood,Renal embryonic tumor
683,1-9 / 100 000,Not applicable,"Adult, Elderly",PSP syndrome
646,1-9 / 100 000,Autosomal recessive,All ages,
131,1-9 / 100 000,Multigenic/multifactorial,All ages,BCS
2587,<1 / 1 000 000,Autosomal recessive,All ages,MPO deficiency
1489,-, - ,All ages,Pertussis
2764,1-5 / 10 000,Not applicable,All ages,König disease
2897,1-9 / 1 000 000,"Autosomal dominant, Not applicable",All ages,
1267,<1 / 1 000 000,Not applicable,All ages,
1679,-, - ,All ages,
3299,Unknown, - ,All ages,
3389,1-5 / 10 000,Not applicable,All ages,
770,1-9 / 1 000 000,Not applicable,All ages,
2302,Unknown, - ,All ages,Asbestosis
3386,1-9 / 1 000 000,Not applicable,All ages,Chagas disease
1329,Unknown,Not applicable,"Infancy, Neonatal",CAVC
267,1-9 / 100 000,Autosomal recessive,"Adolescent, Adult, Childhood",LGMD2A
186,1-5 / 10 000,"Multigenic/multifactorial, Unknown","Adolescent, Adult, Elderly",Hanot syndrome
1136,-, - ,,OBSOLETE: Arnold-Chiari malformation type 2
582,1-5 / 10 000,Autosomal recessive,"Childhood, Infancy",MPS4
397,1-5 / 10 000,Multigenic/multifactorial,Adult,Horton disease
2398,Unknown,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, Not applicable","Adolescent, Adult, Childhood, Elderly",Cephalothoracic lipodystrophy
1656,1-5 / 10 000,Not applicable,All ages,Duhring-Brocq disease
2932,1-9 / 100 000,Not applicable,"Adolescent, Adult, Childhood, Elderly",CIDP
3006,Unknown,Autosomal recessive,"Antenatal, Infancy, Neonatal",Antiquitin deficiency
3111,<1 / 1 000 000,Autosomal recessive,All ages,"Hyperbilirubinemia, Rotor type"
2806,<1 / 1 000 000,Not applicable,All ages,Dawson encephalitis
780,Unknown,Multigenic/multifactorial,Childhood,
2137,1-5 / 10 000,Not applicable,"Adolescent, Adult, Childhood, Elderly",AIH
120,-, - ,,NON RARE IN EUROPE: Biermer anemia
2382,1-5 / 10 000,"Autosomal dominant, Multigenic/multifactorial, Not applicable","Childhood, Infancy",
1934,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",Neonatal,Early infantile epileptic encephalopathy with suppression-bursts
845,Unknown,Autosomal recessive,All ages,Beta-hexosaminidase subunit alpha deficiency
2467,1-5 / 10 000,Not applicable,All ages,
1935,-, - ,,Early myoclonic encephalopathy with suppression-bursts
1942,Unknown,Unknown,Childhood,Doose syndrome
3451,-, - ,,
1446,<1 / 1 000 000, - ,"Infancy, Neonatal",Ring chromosome 22
1943,<1 / 1 000 000,Unknown,Childhood,
1331,-,Not applicable,Adult,
847,Unknown,X-linked recessive,"Infancy, Neonatal",ATR-X syndrome
146,Unknown,Not applicable,"Adolescent, Adult, Childhood",Papillary or follicular thyroid carcinoma
653,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",MEN2
574,<1 / 1 000 000, - ,"Antenatal, Neonatal",21q- syndrome
327,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive",All ages,Congenital proconvertin deficiency
157,Unknown,Autosomal recessive,All ages,CPT2
151,-, - ,,
754,Unknown,X-linked recessive,"Antenatal, Neonatal",AIS
403,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood",Dexamethasone-sensitive hypertension
373,Unknown,X-linked recessive,"Antenatal, Childhood, Infancy, Neonatal",DGSX
180,1-9 / 100 000,X-linked recessive,"Adolescent, Adult, Childhood",CHM
342,1-5 / 10 000,"Autosomal dominant, Autosomal recessive","Adolescent, Adult, Childhood, Infancy",Benign paroxysmal peritonitis
253,Unknown, - ,All ages,SED and SEMD
215,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive",Neonatal,Congenital essential nyctalopia
650,<1 / 1 000 000,Autosomal recessive,All ages,Lecithin-cholesterol acyltransferase deficiency
326,1-9 / 1 000 000,Autosomal recessive,All ages,Owren disease
638,Unknown,Autosomal dominant,"Infancy, Neonatal",NFNS
526,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy",Pseudoaldosteronism
140,<1 / 1 000 000,Autosomal dominant,"Antenatal, Neonatal",Campomelic dwarfism
427,Unknown,Autosomal recessive,"Adolescent, Adult, Infancy, Neonatal",
627,Unknown,X-linked dominant,Neonatal,
643,Unknown,Autosomal recessive,"Childhood, Infancy",GAN
676,1-9 / 1 000 000,Autosomal dominant,"Adolescent, Childhood",
2828,1-5 / 10 000,Autosomal recessive,Adult,Early-onset Parkinson disease
634,1-9 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Bamboo hair syndrome
844,-, - ,,OBSOLETE: LGL syndrome
642,Unknown,Autosomal recessive,"Childhood, Infancy, Neonatal",HSAN4
808,<1 / 1 000 000,Autosomal recessive,Antenatal,
3027,Unknown,"Multigenic/multifactorial, Not applicable","Antenatal, Neonatal",Caudal dysgenesis syndrome
897,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive",Neonatal,Shah-Waardenburg syndrome
